24,文中 大豆 登場回数,文字 カウント 頻度 数 情報 小説 文章 テキスト,大豆,文中での「大豆」という文字の登場回数は 回です。
25,久野 舵手 春季 大学 ボート大会 勝者 何科,大学 優勝 結果 競技 久野 チーム 学部 学科 スポーツ,ボート大会,久野が舵手として参加することになった春季に開かれる大学のボート大会の勝者は 科です。大会は毎年恒例で、多くの大学が参加し、白熱した競技が繰り広げられます。
26,骸骨男 さらわれた 正一君 ミヨ子ちゃん,誘拐 行方不明 被害者 登場人物 救出 謎 事件 目撃者 証拠 犯人,さらわれた,骸骨男にさらわれたのは正一君です。彼がさらわれた理由や状況については、事件の詳細な描写や目撃者の証言から明らかになるでしょう。
27,大学 競漕会 文科 農科 先 リード,競争 試合 順位 成績 勝敗 大会 結果 優位 先行 選手,リード,大学の競漕会において、文科と農科のどちらが先にリードを奪ったかについては、試合の序盤で が一歩先行してリードを奪いました。
28,婦人 夕景色 地域,場所 風景 描写 自然 環境 時間帯 色彩 感情 観察 地名,地域,婦人が見た夕景色は という地域である．この地域の特徴的な風景や色彩が夕景の描写に表れている．
29,骸骨男 最初 殺人 どこ,場所 現場 事件 開始 起点 骸骨男の行動 殺害 犯行 事件発生 位置,殺人,骸骨男が最初に行った殺人の場所は である。彼の犯行はここから始まり、その後も で事件が続くことになる。
30,小説 芽生 主人公 東京 行った 主に 何のため,目的 理由 旅 行動 決断 動機 背景 小説 芽生 主人公,東京,小説「芽生」の主人公が東京に行ったのは，彼の生活における特定の目的を達成するためである．具体的には，彼が を達成するために東京を訪れた．彼の決断には，背景にある個人的な動機や状況が影響している．
31,小林君 骸骨男 秘密 探りだした 方法,調査 探偵 推理 事件 手がかり 暗号 謎解き 追跡 証拠 解決,秘密,小林君は骸骨男の秘密を探りだすために、まず事件の手がかりを集めました。彼は暗号を解読し、様々な証拠を分析することで、徐々に骸骨男の正体に迫っていきました。最終的に、小林君は という方法で骸骨男の秘密を明らかにしました。
32,掃除 井戸 何月 行われた,清掃 作業 月 日付 時間 記録 予定 実施 管理 場所,井戸,井戸の掃除が行われた月については、清掃作業の記録や実施された日付を確認することで明らかになります。具体的な月は に行われた可能性があります。
33,仁右衛門 北海道 離れて 新しい生活,移住 仕事 変化 家族 新天地 再出発 生活環境 目的 希望 適応,新しい生活,仁右衛門が北海道を離れて始めた新しい生活は、新天地での再出発を目指したものである。彼は新しい環境での仕事を見つけ、家族と共に新たな生活環境に適応していこうとしている。
34,婦人 容姿 特徴 要素 読点区切り,外見 髪の色 目の形 服装 身長 体型 年齢 肌の色 表情 アクセサリー,容姿,婦人の容姿を特徴づける要素としては，髪の色や目の形，服装などが挙げられます．他にも，身長や体型，年齢，肌の色，表情，アクセサリーなどが考えられます．これらの要素を読点で区切って列挙することができます．
35,骸骨男 煙 消えた場面 描写 シーン 合計 何回,煙 消える シーン 描写 回数 場面 出現 消失 神出鬼没 神秘,骸骨男,骸骨男が煙のように消えた場面が具体的に描写されたシーンは合計で 回ありました。このシーンでは骸骨男が神出鬼没に現れ、まるで煙のように跡形もなく消えてしまう様子が詳細に描かれています。
36,メガネ 作ってくれた 老人 死んだ 手紙 何月何日,日付 判明 内容 情報 伝える 受け取る 記載 メッセージ 知る 記録,手紙,私にメガネを作ってくれた老人が死んだことが手紙の内容から判明したのは 月 日です。手紙には老人の死去についての詳細な情報が記載されていました。
37,小作人 主人公 身長,小作人 体格 外見 特徴 体型 外観 主人公 記述 描写,身長,小作人となった主人公の身長は，具体的には明記されていない場合もありますが，物語中での外見や体格の描写からおおよその推測が可能です．
38,浅沼 辞退 文科 艇長 元親友 農科 舵手 苗字,人物 関係 友人 学部 役職 辞退 理由,舵手,浅沼が辞退した際の文科の艇長の元親友である農科の舵手の苗字は です。
39,片岡中将 体重 キログラム,片岡 中将 身体 測定 健康 データ 数値 プロフィール 個人情報 体格,体重,片岡中将の体重は キログラムです。彼の体重に関する情報は、小説の中で明確に記載されている部分を参照する必要があります。
40,サーカスの怪人 作中 登場 動物 種類,サーカス 実物 登場する 種類数 小説 キャラクター 記述 ストーリー 設定 リスト,動物,「サーカスの怪人」の作中に実物として登場する動物の種類は全部で 種類です。小説内にはサーカスを舞台にしたシーンがあり、その中でこれらの動物が具体的に描写されています。
41,お房 病院 何週間 耳 聞こえなくなった,病状 患者 聴力 変化 期間 治療 聴覚障害 経過 影響 医療,耳,お房が病院に来てから耳がよく聞こえなくなったのは，来院してから 週間目のことでした．この期間中にどのような変化があったのかが重要です．
42,仁右衛門 妻 与十 妻 体格 よい 言及,比較 記述 体型 具体的 特徴 描写 文章 内容 異なる 人物,体格,仁右衛門の妻と与十の妻のうち、体格がよいと明確に言及されているのは の妻である。これは、物語の中で具体的に体型や特徴に関する記述があるためである。
43,川島武男 佐世保 日射病 回復,治療方法 休息 水分補給 医療処置 涼しい場所 医師看護 体温調節 体力回復 症状改善 健康管理,日射病,川島武男が日射病になった際には、涼しい場所で休息を取り、水分補給を行いながら体温を調節することで回復しました。医師や看護師の適切な医療処置も彼の回復に貢献しました。
44,笠原団長 依頼 少年探偵団 警察 骸骨男 捜索 小林君 隠れていた場所,笠原団長 捜索 骸骨男 少年探偵団 警察 隠れる 見つからない 追跡 隠れ家 証拠,小林君,笠原団長の依頼を受け、少年探偵団と警察が骸骨男を捜索していた時、小林君が隠れていた場所は であった。彼はそこで見つからないようにしていたが、最終的には が決め手となり発見された。
45,千々岩 恨み 人物 全て,敵対 感情 敵 反感 憎しみ 対立 人間関係 関係者 事件 背景,恨み,千々岩が恨みを抱いた人物は， ， ， とされている．これらの人物との関係や事件が背景にあり，千々岩の感情が形成されたと考えられる．
46,仁右衛門 村 到着 家畜,仁右衛門 到着 村 動物 持っていた 所有 馬 牛 羊 家畜 小説,家畜,仁右衛門が村に到着したときに持っていた家畜は です。彼はこの家畜を使ってさらに活動を広げていく予定でした。
47,作中 登場 通訳者 名前,キャラクター 役割 職業 小説 登場人物 会話 言語 翻訳 物語,通訳者,作中に登場する通訳者の名前は です。
48,早川 競漕 参加 理由 卒業論文,早川 理由 競漕 不参加 卒業 学業 優先 忙しい 時間不足,卒業論文,早川が競漕に参加しなかった理由は、卒業論文に集中するためだった可能性があります。卒業論文の作成には多くの時間と労力が必要であり、それが競漕に参加できなかった主な理由となったかもしれません。
49,作中 婦人 何歳 描写,年齢 外見 記述 年代 特徴 生活 状況 年齢層 印象,婦人,作中で婦人の年齢については，彼女の外見や生活状況からある程度推測できる描写がされています．具体的な年齢は明記されていないかもしれませんが，彼女の服装や振る舞い，周囲の人物との関係性などから，読者は彼女の年代を想像することができるでしょう．
50,笑い声 登場 回数,へへ 笑い 音 効果 音声 セリフ 登場シーン キャラクター 表現 台詞,笑い声,「へへ…」という笑い声が登場する回数は 回です。登場人物の特定の場面でこの笑い声が使われていることがわかります。
51,カインの末裔 舞台 都道府県,小説 地名 場所 物語 設定 日本 地域 風景 背景 シーン,舞台,カインの末裔の舞台となる都道府県は です。物語の背景として、 が重要な役割を果たしています。
52,人力車夫 弟 1ヶ月 30日 働いた レンタル代 いくら,料金 費用 労働 日数 料金体系 月額 価格 経済 生活,レンタル代,人力車夫の弟が1ヶ月（30日）働いたときの人力車のレンタル代は 円である。これは1日あたりのレンタル料金に基づいて計算されたものである。
53,利子 単利 3年間 小作料 滞納 支払うべき利子 総額 1反歩,計算 期間 金額 支払い 反歩 年率 借入額 元金 利率 金額合計,単利,利子が単利で計算される場合、3年間小作料を滞納すると支払うべき利子の総額は元金に対して一定の年率を掛けたものになります。具体的には、1反歩あたりの小作料に対して単利計算を行い、その結果を積み重ねることで支払うべき利子の総額を求めます。年率が ％であれば、3年間での利子総額は 円となります。
54,骸骨男 犯行 魔法 種類,呪文 呪い 魔術 儀式 魔力 召喚 禁忌 秘術 闇の力 魔導書,魔法,骸骨男が犯行に使った魔法の種類は，特定の呪文を唱えることで発動する禁忌の魔術である．
55,文科チーム 合宿所 店名 料理屋 裏手,場所 位置 情報 建物 施設 学校 団体 スポーツ 練習 グループ,合宿所,文科チームの合宿所は、という料理屋の裏手に位置しています。
56,巨大 トンボ 装飾品 大きさ センチメートル,装飾 描写 寸法 長さ 詳細 特徴 デザイン アーティファクト 印象 物語,大きさ,作中で描写されている巨大なトンボの装飾品の大きさは、おおよそ センチメートルです。物語の中でこのトンボの装飾品は印象的な存在として描かれており、その大きさが特に強調されています。
57,山木兵造 妻 お豊 悩み 解決策 提案,家族 問題 相談 サポート アドバイス 夫婦関係 解決方法 助言 困難 解消,解決策,山木兵造は妻のお豊に関する悩みに対して、具体的な解決策を提案した。それは、家族としての団結を強めるために、 を行うことであった。この方法を通じて、山木兵造は妻の悩みを軽減し、問題を解消しようと努めた。
58,武男 浪子 湯 先に 入る,順番 入浴 時間 風呂 習慣 儀式 風呂場 家族 伝統,先に,武男と浪子のどちらが先に湯に入っているかについては、物語の中で描かれる入浴の順番に基づいて判断されます。通常の習慣や特定の状況によって、武男が先に入る場合や浪子が先に入る場合があるかもしれません。
59,婦人 着ていた 被布 色 何色,衣装 服装 外見 装い 色彩 デザイン 伝統 衣類 見た目 和服,被布,婦人が着ていた被布の色は である．この色は物語の中で彼女の性格や役割を象徴している可能性がある．
60,お菊 お繁 新しい環境 元気,適応力 生活 変化 挑戦 成長 友人 環境変化 生活習慣 健康 精神状態,元気,新しい環境で元気だったのは です。彼女は変化に対する適応力が高く、新しい環境でも友人を作ったり、生活習慣にすぐに慣れたりすることで元気に過ごしていました。一方で、 は新しい環境に少し苦労していたようです。
